PATIENT_ID,EGFR_PROTEIN,EGFR_RNA
C3L-00368.N,25.4954642800909,12.71
C3L-00412.N,25.4502420681278,12.55
C3L-00422.N,25.3543150728099,12.83
C3L-00510.N,25.3395043904884,12.72
C3L-00604.N,25.7040748297445,12.78
C3L-00893.N,25.3994503917281,12.73
C3L-00913.N,25.3194919956731,12.82
C3L-00973.N,25.4563954586812,13.2
C3L-01330.N,25.4862790045351,13.0
C3L-01632.N,25.4264161782931,12.28
C3L-01682.N,25.639788931621,12.39
C3L-01683.N,25.5000027638187,12.88
C3L-01889.N,25.2663093228269,12.3
C3L-01890.N,25.550058066414,12.46
C3L-01924.N,25.3467812886895,12.61
C3L-02219.N,25.3725111037333,12.32
C3L-02345.N,25.4178000855791,12.77
C3L-02348.N,25.4781959391757,12.5
C3L-02350.N,25.2989039886126,12.75
C3L-02365.N,25.5035903979434,13.0
C3L-02508.N,25.3800784576326,12.42
C3L-02549.N,25.3698075228917,12.65
C3N-00167.N,25.5990589194714,12.6
C3N-00169.N,25.4250917731358,12.6
C3N-00175.N,25.4406959938613,12.27
C3N-00180.N,25.5752496404428,13.08
C3N-00199.N,25.507511521819,12.81
C3N-00203.N,25.6994680240892,12.2
C3N-00217.N,25.5793786168385,12.68
C3N-00223.N,25.4532535012834,12.48
C3N-00293.N,25.0082582903554,12.72
C3N-00433.N,25.3612735274927,12.1
C3N-00546.N,25.3910762553774,12.78
C3N-00547.N,25.3613166160247,12.64
C3N-00549.N,25.6157903627758,12.74
C3N-00550.N,25.768255880215,12.71
C3N-00551.N,25.4097167401962,12.6
C3N-00552.N,25.3617395299198,12.62
C3N-00556.N,25.6673755533832,12.88
C3N-00559.N,25.609005343403,12.69
C3N-00560.N,25.4378524261358,12.58
C3N-00572.N,25.5638539378532,12.62
C3N-00574.N,25.5305889315872,13.12
C3N-00578.N,25.7314610620115,12.68
C3N-00579.N,25.6075233652753,12.82
C3N-00580.N,25.5967372155311,12.7
C3N-00704.N,25.5310653768529,12.65
C3N-00737.N,25.3787801426756,12.41
C3N-00738.N,25.4276491393679,12.76
C3N-00959.N,25.412360177151,12.96
C3N-01016.N,25.4002946022947,12.46
C3N-01021.N,25.5244068676073,12.65
C3N-01023.N,25.3052256527391,12.54
C3N-01024.N,25.347429938711,12.88
C3N-01030.N,25.2214861499652,12.17
C3N-01071.N,25.7657840513921,12.74
C3N-01072.N,25.4040356933467,13.16
C3N-01405.N,25.5124149812992,13.18
C3N-01410.N,25.4209245927885,12.52
C3N-01413.N,25.4049962092453,12.79
C3N-01414.N,25.2741593375862,12.68
C3N-01415.N,25.4146407397302,12.72
C3N-01416.N,25.4404145246653,12.68
C3N-01488.N,25.493320250279,12.57
C3N-01489.N,25.3478309361998,12.73
C3N-01799.N,25.3569250076712,12.73
C3N-01823.N,25.342698254533,12.45
C3N-02000.N,25.5780232799465,12.36
C3N-02002.N,25.602252124282,12.47
C3N-02003.N,25.4088039416267,12.67
C3N-02067.N,25.4048647734266,12.9
C3N-02087.N,25.3335464908397,12.2
C3N-02089.N,25.572181958562,12.37
C3N-02145.N,25.6229679176186,12.29
C3N-02149.N,25.4611152489188,12.48
C3N-02155.N,25.6356463403392,12.49
C3N-02158.N,25.4890038477375,12.84
C3N-02379.N,25.4308698585042,12.52
C3N-02380.N,25.4106211217859,12.47
C3N-02421.N,25.3567088433007,12.48
C3N-02423.N,25.6750435695027,12.87
C3N-02424.N,25.4400812216074,12.3
C3N-02433.N,25.4471146724605,12.61
C3N-02529.N,25.3633692039298,12.09
C3N-02572.N,25.4597396650714,12.76
C3N-02582.N,25.6520434363475,12.55
C3N-02586.N,25.3061625332937,12.34
C3N-02587.N,25.4035032876409,12.72
C3N-02588.N,25.5679414994873,12.74
C3N-02729.N,25.3061208556321,12.41
