patient_id,EGFR_RNA,cohort,batch_domain
C3N-01024,12.42,CPTAC,CPTAC
C3N-01030,13.19,CPTAC,CPTAC
C3N-01071,9.46,CPTAC,CPTAC
C3N-01072,13.5,CPTAC,CPTAC
C3N-01074,12.21,CPTAC,CPTAC
C3N-01405,13.29,CPTAC,CPTAC
C3N-01410,12.38,CPTAC,CPTAC
C3N-01413,13.44,CPTAC,CPTAC
C3N-01414,11.96,CPTAC,CPTAC
C3N-01415,14.53,CPTAC,CPTAC
C3N-01416,13.74,CPTAC,CPTAC
C3N-01488,13.3,CPTAC,CPTAC
C3N-01489,12.87,CPTAC,CPTAC
C3N-01799,13.19,CPTAC,CPTAC
C3N-01823,12.65,CPTAC,CPTAC
C3N-01842,11.97,CPTAC,CPTAC
C3N-02000,14.25,CPTAC,CPTAC
C3N-02002,13.84,CPTAC,CPTAC
C3N-02003,12.58,CPTAC,CPTAC
C3N-02067,14.44,CPTAC,CPTAC
C3N-02087,13.93,CPTAC,CPTAC
C3N-02089,11.9,CPTAC,CPTAC
C3N-02145,13.7,CPTAC,CPTAC
C3N-02149,11.59,CPTAC,CPTAC
C3N-02155,16.33,CPTAC,CPTAC
C3N-02158,12.97,CPTAC,CPTAC
C3N-02379,14.99,CPTAC,CPTAC
C3N-02380,13.6,CPTAC,CPTAC
C3N-02421,15.34,CPTAC,CPTAC
C3N-02422,12.65,CPTAC,CPTAC
C3N-02423,13.68,CPTAC,CPTAC
C3N-02424,13.17,CPTAC,CPTAC
C3N-02433,13.45,CPTAC,CPTAC
C3N-02529,15.02,CPTAC,CPTAC
C3N-02572,14.01,CPTAC,CPTAC
C3N-02582,15.53,CPTAC,CPTAC
C3N-02586,15.11,CPTAC,CPTAC
C3N-02587,12.74,CPTAC,CPTAC
C3N-02588,12.66,CPTAC,CPTAC
C3N-02729,14.3,CPTAC,CPTAC
C3L-00001.N,11.93,CPTAC,CPTAC
C3L-00009.N,12.32,CPTAC,CPTAC
C3L-00080.N,12.48,CPTAC,CPTAC
C3L-00083.N,12.51,CPTAC,CPTAC
C3L-00093.N,12.72,CPTAC,CPTAC
C3L-00094.N,12.83,CPTAC,CPTAC
C3L-00095.N,12.82,CPTAC,CPTAC
C3L-00140.N,12.49,CPTAC,CPTAC
C3L-00144.N,12.48,CPTAC,CPTAC
C3L-00263.N,12.02,CPTAC,CPTAC
C3L-00279.N,12.58,CPTAC,CPTAC
C3L-00368.N,12.71,CPTAC,CPTAC
C3L-00412.N,12.55,CPTAC,CPTAC
C3L-00422.N,12.83,CPTAC,CPTAC
C3L-00510.N,12.72,CPTAC,CPTAC
C3L-00604.N,12.78,CPTAC,CPTAC
C3L-00893.N,12.73,CPTAC,CPTAC
C3L-00913.N,12.82,CPTAC,CPTAC
C3L-00973.N,13.2,CPTAC,CPTAC
C3L-01330.N,13.0,CPTAC,CPTAC
C3L-01632.N,12.28,CPTAC,CPTAC
C3L-01682.N,12.39,CPTAC,CPTAC
C3L-01683.N,12.88,CPTAC,CPTAC
C3L-01889.N,12.3,CPTAC,CPTAC
C3L-01890.N,12.46,CPTAC,CPTAC
C3L-01924.N,12.61,CPTAC,CPTAC
C3L-02219.N,12.32,CPTAC,CPTAC
C3L-02345.N,12.77,CPTAC,CPTAC
C3L-02348.N,12.5,CPTAC,CPTAC
C3L-02350.N,12.75,CPTAC,CPTAC
C3L-02365.N,13.0,CPTAC,CPTAC
C3L-02508.N,12.42,CPTAC,CPTAC
C3L-02549.N,12.65,CPTAC,CPTAC
C3N-00167.N,12.6,CPTAC,CPTAC
C3N-00169.N,12.6,CPTAC,CPTAC
C3N-00175.N,12.27,CPTAC,CPTAC
C3N-00180.N,13.08,CPTAC,CPTAC
C3N-00199.N,12.81,CPTAC,CPTAC
C3N-00203.N,12.2,CPTAC,CPTAC
C3N-00217.N,12.68,CPTAC,CPTAC
C3N-00223.N,12.48,CPTAC,CPTAC
C3N-00293.N,12.72,CPTAC,CPTAC
C3N-00433.N,12.1,CPTAC,CPTAC
C3N-00545.N,13.03,CPTAC,CPTAC
C3N-00546.N,12.78,CPTAC,CPTAC
C3N-00547.N,12.64,CPTAC,CPTAC
C3N-00549.N,12.74,CPTAC,CPTAC
C3N-00550.N,12.71,CPTAC,CPTAC
C3N-00551.N,12.6,CPTAC,CPTAC
C3N-00552.N,12.62,CPTAC,CPTAC
C3N-00556.N,12.88,CPTAC,CPTAC
C3N-00559.N,12.69,CPTAC,CPTAC
C3N-00560.N,12.58,CPTAC,CPTAC
C3N-00572.N,12.62,CPTAC,CPTAC
C3N-00574.N,13.12,CPTAC,CPTAC
C3N-00578.N,12.68,CPTAC,CPTAC
C3N-00579.N,12.82,CPTAC,CPTAC
C3N-00580.N,12.7,CPTAC,CPTAC
C3N-00704.N,12.65,CPTAC,CPTAC
C3N-00737.N,12.41,CPTAC,CPTAC
C3N-00738.N,12.76,CPTAC,CPTAC
C3N-00959.N,12.96,CPTAC,CPTAC
C3N-01016.N,12.46,CPTAC,CPTAC
C3N-01021.N,12.65,CPTAC,CPTAC
C3N-01023.N,12.54,CPTAC,CPTAC
C3N-01024.N,12.88,CPTAC,CPTAC
C3N-01030.N,12.17,CPTAC,CPTAC
C3N-01071.N,12.74,CPTAC,CPTAC
C3N-01072.N,13.16,CPTAC,CPTAC
C3N-01405.N,13.18,CPTAC,CPTAC
C3N-01410.N,12.52,CPTAC,CPTAC
C3N-01413.N,12.79,CPTAC,CPTAC
C3N-01414.N,12.68,CPTAC,CPTAC
C3N-01415.N,12.72,CPTAC,CPTAC
C3N-01416.N,12.68,CPTAC,CPTAC
C3N-01488.N,12.57,CPTAC,CPTAC
C3N-01489.N,12.73,CPTAC,CPTAC
C3N-01799.N,12.73,CPTAC,CPTAC
C3N-01823.N,12.45,CPTAC,CPTAC
C3N-02000.N,12.36,CPTAC,CPTAC
C3N-02002.N,12.47,CPTAC,CPTAC
C3N-02003.N,12.67,CPTAC,CPTAC
C3N-02067.N,12.9,CPTAC,CPTAC
C3N-02087.N,12.2,CPTAC,CPTAC
C3N-02089.N,12.37,CPTAC,CPTAC
C3N-02145.N,12.29,CPTAC,CPTAC
C3N-02149.N,12.48,CPTAC,CPTAC
C3N-02155.N,12.49,CPTAC,CPTAC
C3N-02158.N,12.84,CPTAC,CPTAC
C3N-02379.N,12.52,CPTAC,CPTAC
C3N-02380.N,12.47,CPTAC,CPTAC
C3N-02421.N,12.48,CPTAC,CPTAC
C3N-02423.N,12.87,CPTAC,CPTAC
C3N-02424.N,12.3,CPTAC,CPTAC
C3N-02433.N,12.61,CPTAC,CPTAC
C3N-02529.N,12.09,CPTAC,CPTAC
C3N-02572.N,12.76,CPTAC,CPTAC
C3N-02582.N,12.55,CPTAC,CPTAC
C3N-02586.N,12.34,CPTAC,CPTAC
C3N-02587.N,12.72,CPTAC,CPTAC
C3N-02588.N,12.74,CPTAC,CPTAC
C3N-02729.N,12.41,CPTAC,CPTAC
